id,name,age,country,signup_date,purchase_amount,tax,total_cost
116,User_116,37,India,2022-05-25,46.05,0.11,5.07
117,User_117,38,France,2021-06-21,852.58,0.08,68.21
118,User_118,52,India,2021-02-03,116.77,0.05,5.84
119,User_119,56,USA,2022-12-07,147.37,0.13,19.16
120,User_120,?,UK,2023-05-16,187.13,0.13,24.33
121,User_121,47,Japan,2024-11-04,873.08,0.12,104.77
12,User_12,62,France,2021-03-18,301.23,0.12,36.15
123,User_123,38,USA,2023-03-02,675.66,0.06,40.54
124,User_124,20,Israel,2023-05-28,462.76,0.05,23.14
125,User_125,52,Canada,2022-02-07,342.17,0.07,23.95
126,User_126,62,France,2021-12-13,-50.5,0.16,-8.08
127,User_127,29,UK,2024-04-24,115.96,0.06,6.96
128,User_128,59,Germany,2023-07-20,340.94,0.07,23.87
129,User_129,31,India,2022-01-22,880.79,0.15,132.12
130,User_130,999,Germany,2020-09-30,217.94,0.12,26.15
131,User_131,37,Israel,2023-07-29,200.76,0.06,12.05
132,User_132,41,USA,2024-07-16,90.82,0.07,6.36
133,User_133,34,India,2020-04-13,929.64,0.18,167.34
134,User_134,18,Japan,2020-05-02,330.75,0.13,43.0
135,User_135,65,USA,2021-10-26,679.8,0.05,33.99
136,User_136,66,USA,2022-06-23,355.71,0.5,177.85
137,User_137,42,India,2021-09-21,509.92,0.09,45.89
138,User_138,150,Japan,2021-03-05,548.05,0.05,27.4
139,User_139,59,USA,2023-03-23,568.49,0.09,51.16
140,User_140,31,Israel,2024-10-01,922.05,0.06,55.32
141,User_141,53,Germany,2020-07-18,210.72,0.14,29.5
142,User_142,22,India,2021-06-20,896.81,0.12,107.62
143,User_143,43,Canada,2022-12-24,751.78,0.15,112.77
144,User_144,60,UK,2020-04-24,317.84,0.12,38.14
145,User_145,62,USA,2024-01-18,301.46,0.04,12.06
146,User_146,68,UK,2022-07-16,696.49,0.07,48.75
147,User_147,44,France,2022-01-11,762.29,0.13,99.1
148,User_148,70,India,2023-08-24,579.14,0.09,52.12
149,User_149,42,Japan,2020-09-02,489.38,0.14,68.51
150,User_150,32,France,2021-06-04,371.15,0.05,18.56
151,User_151,35,Germany,2020-05-07,371.97,0.08,29.76
152,User_152,36,UK,2024-11-28,484.17,0.13,62.94
153,User_153,40,Japan,2021-03-21,537.98,0.17,91.46
154,User_154,51,Canada,2021-08-16,657.45,0.12,78.89
155,User_155,46,Canada,2023-07-09,594.93,0.06,35.7
156,User_156,45,India,2021-01-17,13.52,0.11,1.49
157,User_157,31,India,2024-01-04,105.78,0.15,15.87
158,User_158,37,Japan,2022-02-05,246.15,0.06,14.77
159,User_159,35,France,2022-02-11,604.64,0.09,54.42
160,User_160,69,UK,2020-01-02,335.11,0.16,53.62
161,User_161,27,India,2020-05-28,829.62,0.07,58.07
162,,41,Germany,2021-01-25,954.26,0.16,152.68
163,User_163,20,USA,2023-12-30,436.68,0.16,69.87
164,User_164,39,Japan,2020-11-06,45.28,0.1,4.53
51,User_51,68,Canada,2021-10-22,885.78,0.15,132.87
166,User_166,38,Canada,2020-08-26,155.78,0.14,21.81
167,User_167,39,Canada,2022-07-23,648.47,0.14,90.79
168,User_168,23,Canada,2022-07-07,415.64,0.15,62.35
169,User_169,20,Japan,2024-05-29,938.28,0.13,121.98
170,User_170,53,France,2024-02-29,790.4,0.05,39.52
171,User_171,59,Israel,2022-11-09,158.96,0.15,23.84
172,User_172,27,Israel,2020-08-05,459.08,0.08,36.73
173,User_173,23,France,2023-12-16,731.19,0.11,80.43
174,User_174,45,UK,2024-08-10,73.43,0.1,7.34
175,User_175,18,USA,2021-10-14,798.25,0.1,79.83
18,User_18,22,Israel,2024-02-07,983.91,0.17,167.26
177,User_177,33,India,2024-01-26,11.56,0.14,1.62
178,User_178,57,USA,2021-05-29,488.02,0.05,24.4
179,User_179,27,Germany,2023-02-20,178.21,0.16,28.51
180,User_180,65,Canada,2024-12-03,104.55,0.16,16.73
181,User_181,22,Germany,2022-11-12,752.64,0.16,120.42
182,User_182,56,Japan,2023-06-05,752.8,0.07,52.7
183,User_183,51,UK,2021-12-05,187.85,0.07,13.15
184,User_184,23,Canada,2020-03-24,NaN,0.07,nan
185,User_185,56,France,2024-07-12,512.83,0.08,41.03
186,User_186,35,Germany,2023-04-18,322.79,0.1,32.28
187,User_187,52,Japan,2023-07-21,391.55,0.18,70.48
188,User_188,59,Canada,2020-08-23,397.85,0.06,23.87
189,User_189,19,Japan,2023-07-13,623.6,0.1,62.36
190,User_190,37,France,2024-04-12,753.06,0.15,112.96
191,User_191,31,France,2020-12-19,736.99,0.11,81.07
192,User_192,47,India,2022-03-07,496.41,0.08,39.71
193,User_193,44,France,2024-11-15,629.17,0.15,94.38
194,User_194,40,USA,2021-05-23,996.16,0.15,149.42
195,User_195,36,Israel,2020-08-21,173.68,0.08,13.89
196,User_196,50,Canada,2024-02-03,89.39,0.14,12.51
197,User_197,49,Israel,2022-10-04,374.51,0.05,18.73
198,User_198,42,India,2023-09-24,662.12,0.06,39.73
199,User_199,42,Germany,2023-02-13,592.91,0.18,106.72
34,User_34,68,Japan,2024-04-29,505.17,0.14,70.72
26,User_26,57,USA,2024-11-01,316.4,0.14,44.3
202,User_202,39,Israel,2021-07-30,895.2,0.12,107.42
203,User_203,67,Germany,2021-11-08,695.59,0.17,118.25
204,User_204,22,Canada,2022-06-13,680.71,0.13,88.49
205,User_205,64,Germany,2020-02-10,468.83,0.09,42.19
206,User_206,42,UK,2021-10-27,295.16,0.05,14.76
207,User_207,,India,2020-09-22,172.11,0.14,24.1
208,User_208,39,Japan,2020-11-03,211.78,0.12,25.41
209,User_209,50,Germany,2020-05-17,722.5,0.13,93.92
210,User_210,47,France,2023-09-30,250.8,0.1,25.08
211,User_211,38,Germany,2022-09-02,350.5,0.1,35.05
212,User_212,56,UK,2022-07-05,781.79,0.12,93.81
23,User_23,61,Israel,2021-02-11,140.18,0.09,12.62
214,User_214,20,Japan,2021-08-29,575.2,0.16,92.03
215,User_215,29,Israel,2023-02-27,928.4,0.09,83.56
216,User_216,34,Israel,,122.54,0.12,14.7
217,User_217,56,Germany,2024-05-15,450.57,0.1,45.06
218,User_218,48,India,2022-04-12,690.32,0.1,69.03
219,User_219,60,UK,2023-02-10,600.73,0.12,72.09
220,User_220,43,USA,2022-08-02,264.38,0.15,39.66
221,User_221,68,Israel,2020-10-10,977.28,0.15,146.59
222,User_222,51,UK,2023-06-03,607.13,0.13,78.93
223,User_223,44,Canada,2020-12-30,505.36,0.1,50.54
224,User_224,39,France,2022-12-14,901.2,0.17,153.2
225,User_225,37,India,2024-03-12,318.83,0.06,19.13
81,User_81,65,NaN,2020-09-12,141.57,0.09,12.74
227,User_227,60,India,2021-01-24,684.16,0.1,68.42
228,User_228,44,USA,2021-01-26,501.33,0.18,90.24
229,User_229,47,France,2022-01-10,381.23,0.16,61.0
230,User_230,53,UK,2021-03-06,656.9,0.1,65.69
231,User_231,54,Germany,2022-11-14,940.94,0.07,65.87
232,User_232,53,Japan,2020-07-16,316.85,0.1,31.69
233,User_233,56,France,2020-08-03,882.23,0.05,44.11
234,User_234,51,Japan,2022-07-09,599.76,0.09,53.98
235,User_235,35,USA,2022-12-04,967.5,0.05,48.38
236,User_236,21,India,2021-07-08,517.31,0.14,72.42
237,User_237,20,Israel,2024-03-16,265.1,0.1,26.51
238,User_238,22,USA,2020-10-22,893.86,0.11,98.32
239,User_239,NaN,India,2023-12-19,640.87,0.06,38.45
240,User_240,44,USA,2021-06-19,812.28,0.06,48.74
241,User_241,59,Israel,2023-11-29,890.27,0.12,106.83
242,User_242,62,France,2024-04-20,353.03,0.05,17.65
243,User_243,70,Germany,2021-01-02,643.99,0.09,57.96
244,User_244,60,UK,2024-09-24,451.19,0.11,49.63
245,User_245,53,Germany,2021-02-09,710.73,0.12,85.29
246,User_246,43,Israel,2020-05-21,611.31,0.18,110.04
247,User_247,28,Germany,2021-10-25,71.04,0.15,10.66
248,User_248,50,India,2022-10-02,19.68,0.1,1.97
249,User_249,70,India,2022-09-07,985.08,0.12,118.21
250,User_250,51,Israel,2021-12-11,227.32,0.11,25.01
251,User_251,-5,USA,2022-05-11,244.57,0.11,26.9
252,User_252,56,Germany,2024-04-02,892.63,0.1,89.26
253,User_253,30,France,2021-09-13,999.23,0.05,49.96
254,User_254,25,India,2021-05-02,766.74,0.1,76.67
255,User_255,36,Germany,2023-11-12,655.49,0.11,72.1
256,User_256,41,UK,2024-05-14,136.51,0.13,17.75
257,User_257,26,Israel,2020-08-26,46.33,0.18,8.34
258,User_258,24,India,2021-06-08,324.67,0.07,22.73
259,User_259,23,Japan,2022-01-29,371.7,0.09,33.45
260,User_260,65,Japan,2020-02-07,840.39,0.07,58.83
261,User_261,64,UK,2020-03-30,-50.5,0.12,-6.06
262,User_262,65,Canada,2023-08-31,473.18,0.14,66.25
263,User_263,50,France,2022-09-22,684.86,0.1,68.49
264,User_264,59,USA,2021-07-02,96.84,0.12,11.62
265,User_265,31,India,2021-09-17,288.93,0.07,20.23
266,User_266,999,Germany,2021-12-24,495.55,0.12,59.47
267,User_267,67,USA,2024-08-26,524.88,0.13,68.23
268,User_268,20,Japan,2022-01-18,418.27,0.15,62.74
269,User_269,22,France,2020-07-05,641.17,0.16,102.59
270,User_270,47,India,2023-11-25,50.31,0.09,4.53
271,User_271,50,India,2020-02-10,217.16,0.14,30.4
272,User_272,33,Israel,2024-11-13,194.71,0.15,29.21
273,User_273,19,Canada,2021-03-27,672.87,0.13,87.47
274,User_274,41,India,2021-04-18,163.05,0.12,19.57
275,User_275,67,Israel,2021-07-04,169.72,0.14,23.76
276,User_276,53,UK,2024-10-05,208.39,0.11,22.92
277,User_277,24,USA,2024-03-07,N/A,0.08,69.14
278,User_278,43,India,2020-08-12,117.53,0.18,21.16
279,User_279,56,UK,2020-04-26,437.38,0.13,56.86
280,User_280,57,Germany,2021-11-30,457.52,0.04,18.3
281,User_281,66,Japan,2020-11-03,478.21,0.14,66.95
282,User_282,53,Japan,2024-07-08,898.58,0.05,44.93
283,User_283,30,Israel,2022-08-14,773.6,0.04,30.94
284,User_284,44,France,2022-05-10,366.81,0.1,36.68
285,User_285,22,Japan,2023-07-10,388.74,0.18,69.97
286,User_286,24,Germany,20240329,797.92,0.07,55.85
287,User_287,47,Canada,2023-07-10,543.05,0.14,76.03
288,User_288,38,UK,2021-01-14,394.24,0.15,59.14
289,User_289,51,Japan,2020-11-22,799.69,0.18,143.94
290,User_290,69,Germany,2022-03-14,612.23,0.16,97.96
291,User_291,58,USA,2020-09-13,750.23,0.16,120.04
292,User_292,53,Canada,2023-06-27,931.81,0.09,83.86
293,User_293,47,Israel,2021-01-27,245.77,0.07,17.2
294,User_294,70,France,2024-11-13,221.01,0.12,26.52
295,User_295,55,USA,2020-01-31,518.05,0.1,51.8
296,User_296,19,India,2021-02-25,872.82,0.08,69.83
297,User_297,61,Germany,2021-08-07,91.12,0.05,4.56
298,User_298,36,France,2024-01-10,494.68,0.13,64.31
299,User_299,58,Germany,2023-10-13,438.23,0.15,65.73
300,User_300,39,Japan,2020-06-11,687.73,0.06,41.26
301,User_301,64,Canada,2023-03-10,10.16,0.06,0.61
302,User_302,69,Japan,2023-02-03,389.81,0.13,50.68
303,User_303,38,Canada,2022-11-05,12.55,0.09,1.13
304,User_304,57,France,2022-09-27,413.3,0.06,24.8
305,User_305,61,Israel,2023-04-18,289.65,0.14,40.55
306,User_306,58,UK,2024-04-06,771.96,0.07,54.04
307,User_307,42,UK,2020-05-27,91.08,0.05,4.55
308,User_308,49,Israel,2020-05-01,461.44,0.14,64.6
309,User_309,62,,2022-03-21,80.72,0.14,11.3
310,User_310,54,India,2024-01-11,64.36,0.09,5.79
311,User_311,27,Japan,2021-02-14,176.02,0.06,10.56
312,User_312,31,India,2020-07-01,222.91,0.5,111.45
313,User_313,27,Germany,2020-11-16,836.57,0.07,58.56
314,User_314,55,Germany,2023-04-20,232.95,0.1,23.3
198,User_198,42,India,2023-09-24,662.12,0.06,39.73
316,User_316,38,India,2022-05-24,737.35,0.07,51.61
317,User_317,47,Israel,2023-03-05,243.64,0.15,36.55
318,User_318,49,Germany,2024-07-22,786.93,0.12,94.43
319,User_319,27,UK,2024-04-09,504.67,0.08,40.37
320,User_320,31,Canada,2024-02-09,957.53,0.06,57.45
321,User_321,20,France,2022-07-25,476.54,0.09,42.89
322,User_322,36,Germany,2024-02-20,429.9,0.12,51.59
323,User_323,22,USA,2022-04-28,686.91,0.14,96.17
324,User_324,52,Germany,2023-04-19,123.0,0.06,7.38
38,User_38,48,UK,2024-02-13,312.75,0.11,34.4
326,User_326,39,UK,2021-12-21,319.36,0.1,31.94
327,User_327,58,Canada,2023-07-12,620.35,0.11,68.24
328,User_328,21,Japan,2021-10-28,326.77,0.1,32.68
329,User_329,19,UK,2023-01-15,180.79,0.13,23.5
330,User_330,61,India,2021-10-15,495.8,0.07,34.71
331,User_331,69,Canada,2024-11-17,530.86,0.09,47.78
332,User_332,18,Canada,2024-03-29,922.47,0.06,55.35
333,User_333,25,India,2022-02-18,920.78,0.04,36.83
334,User_334,25,Canada,2020-08-27,243.31,0.13,31.63
335,User_335,50,Germany,2024-08-12,231.43,0.05,11.57
336,User_336,26,USA,2021-10-22,484.99,0.07,33.95
337,User_337,64,Israel,2022-02-14,N/A,0.14,51.35
338,User_338,34,Canada,2021-11-03,355.26,0.11,39.08
339,User_339,19,Japan,2024-07-02,589.9,0.04,23.6
340,User_340,47,,2021-05-01,117.4,0.15,17.61
341,User_341,52,Israel,2024-04-03,764.33,0.09,68.79
342,User_342,29,Canada,2023-09-17,62.98,0.17,10.71
343,User_343,60,Israel,2024-03-21,651.43,0.12,78.17
344,User_344,60,Canada,2021-09-26,962.62,0.04,38.5
345,User_345,18,France,2020-07-26,394.69,0.11,43.42
346,User_346,70,France,2020-06-30,401.23,0.11,44.14
347,User_347,40,Israel,2024-09-02,302.91,0.06,18.17
348,User_348,999,Japan,2022-06-29,434.85,0.16,69.58
349,User_349,29,India,2024-07-14,50.41,0.11,5.55
350,User_350,62,India,2022-10-24,514.53,0.07,36.02
351,User_351,28,India,2020-12-19,763.63,0.13,99.27
336,User_336,26,USA,2021-10-22,484.99,0.07,33.95
353,User_353,29,France,2020-09-02,844.19,0.17,143.51
354,User_354,42,Israel,2021-05-25,294.36,0.15,44.15
355,User_355,68,Canada,2022-11-01,96.32,0.07,6.74
356,User_356,33,Canada,2020-11-26,794.78,0.11,87.43
357,User_357,27,Japan,2020-11-12,510.72,0.09,45.96
358,User_358,35,USA,2022-11-22,735.61,0.16,117.7
359,User_359,65,USA,2024-11-08,642.87,0.14,90.0
360,User_360,26,Canada,2020-11-22,493.57,0.04,19.74
361,User_361,55,Israel,2020-09-11,972.32,0.14,136.12
362,User_362,32,India,2022-06-06,825.82,0.07,57.81
363,User_363,31,Canada,2020-01-25,782.48,0.12,93.9
364,User_364,63,India,2024-10-01,155.03,0.12,18.6
365,User_365,49,France,2021-11-27,720.85,0.04,28.83
366,User_366,66,France,2024-04-01,491.11,0.13,63.84
367,User_367,64,USA,2023-03-09,910.17,0.08,72.81
368,User_368,35,Germany,2024-02-10,730.62,0.07,51.14
369,User_369,32,UK,2020-10-04,-50.5,0.11,-5.55
370,User_370,37,Japan,2020-10-13,772.21,0.1,77.22
371,User_371,28,UK,2024-07-21,578.26,0.07,40.48
372,User_372,36,Israel,2023-09-26,761.83,0.1,76.18
373,User_373,18,Germany,2023-04-17,799.09,0.08,63.93
374,User_374,32,Germany,2024-06-16,530.57,0.06,31.83
375,User_375,42,Germany,2021-10-29,145.11,0.05,7.26
376,User_376,30,Germany,2022-01-06,938.32,0.09,84.45
377,User_377,52,Israel,2024-11-20,521.3,0.05,26.06
378,User_378,55,India,2024-02-08,469.5,0.09,42.25
379,User_379,60,Japan,2020-10-22,843.16,0.17,143.34
380,User_380,25,France,2020-06-17,902.44,0.13,117.32
381,User_381,23,India,2023-12-18,990.74,0.14,138.7
382,User_382,66,Germany,2021-10-14,74.01,0.1,7.4
383,User_383,35,Japan,2020-07-20,51.24,0.13,6.66
384,User_384,69,USA,2023-04-04,639.08,0.09,57.52
385,User_385,51,India,2021-12-20,577.37,0.14,80.83
386,User_386,44,UK,2024-11-24,244.4,0.11,26.88
387,User_387,53,Canada,2021-08-01,825.1,0.18,148.52
388,User_388,58,Germany,2021-04-10,731.81,0.09,65.86
389,User_389,66,France,2021-02-26,279.55,0.14,39.14
390,User_390,42,USA,2022-07-12,71.29,0.07,4.99
206,User_206,42,UK,2021-10-27,295.16,0.05,14.76
392,User_392,60,France,2021-11-10,797.58,0.13,103.69
393,User_393,36,Germany,2022-03-17,607.05,0.07,42.49
394,User_394,65,India,2021-11-14,659.32,0.17,112.08
395,User_395,30,Germany,2023-07-20,760.46,0.12,91.26
396,User_396,18,UK,2023-08-26,68.62,0.08,5.49
397,User_397,38,USA,2024-02-12,826.3,0.05,41.31
398,User_398,24,Japan,2020-04-14,20.01,0.15,3.0
399,User_399,60,Germany,2020-05-12,943.9,0.1,94.39
400,User_400,46,Germany,2021-06-11,275.79,0.18,49.64
401,User_401,30,Israel,2020-02-20,354.41,0.06,21.26
402,User_402,42,France,2024-10-14,536.97,0.11,59.07
403,User_403,48,UK,2024-01-11,751.36,0.12,90.16
404,User_404,68,India,2024-09-01,415.14,0.15,62.27
405,User_405,37,Germany,2023-01-09,155.07,0.07,10.85
406,User_406,21,India,2021-03-11,N/A,0.05,9.41
125,User_125,52,Canada,2022-02-07,342.17,0.07,23.95
408,User_408,54,Japan,2021-12-17,492.16,0.07,34.45
409,User_409,51,Israel,2023-07-14,630.59,0.06,37.84
410,User_410,58,Israel,2020-10-23,808.64,0.13,105.12
411,User_411,31,UK,2023-07-22,632.93,0.11,69.62
412,User_412,70,USA,2023-07-25,13.53,0.09,1.22
413,User_413,51,France,2021-10-20,103.28,0.12,12.39
414,User_414,39,Israel,2022-07-29,103.49,0.14,14.49
415,User_415,22,India,2023-10-11,55.32,0.13,7.19
416,User_416,50,Germany,,597.49,0.13,77.67
417,User_417,57,Canada,2022-10-17,29.47,0.14,4.13
418,User_418,19,France,2022-05-06,444.47,0.16,71.12
419,User_419,65,Germany,2022-12-14,697.72,0.05,34.89
420,User_420,20,Japan,2021-05-26,198.58,0.16,31.77
421,User_421,48,Japan,2023-01-25,514.11,0.16,82.26
422,User_422,?,France,2023-01-10,515.9,0.05,25.8
423,User_423,41,France,2022-08-04,79.66,0.05,3.98
413,User_413,51,France,2021-10-20,103.28,0.12,12.39
425,User_425,24,France,2021-02-27,43.46,0.17,7.39
426,User_426,36,USA,2024-08-06,899.66,0.04,35.99
427,User_427,48,Germany,2020-04-08,509.19,0.17,86.56
428,User_428,NaN,Israel,2024-08-06,949.62,0.06,56.98
429,User_429,70,UK,2022-05-10,17.82,0.08,1.43
430,User_430,44,Canada,2023-10-03,380.24,0.17,64.64
431,User_431,69,Canada,2023-04-28,295.48,0.16,47.28
432,User_432,59,USA,2020-04-14,337.44,0.06,20.25
433,User_433,63,Canada,2020-08-10,371.09,0.13,48.24
434,User_434,64,Israel,2020-01-04,719.69,0.11,79.17
435,User_435,55,India,2023-10-30,787.63,0.12,94.52
436,User_436,36,Canada,2023-08-25,450.93,0.16,72.15
437,User_437,69,Germany,2022-03-18,440.91,0.04,17.64
438,User_438,69,USA,2020-10-30,452.15,?,49.74
439,User_439,59,Israel,2024-01-09,412.46,0.09,37.12
440,User_440,51,France,2021-01-28,484.69,0.07,33.93
441,User_441,53,France,2020-02-07,704.19,0.16,112.67
442,User_442,18,India,2020-07-23,371.72,0.13,48.32
443,User_443,44,Japan,2021-12-23,106.97,0.13,13.91
444,User_444,67,France,2020-12-16,951.56,0.08,76.12
445,User_445,26,France,2021-04-05,683.83,0.12,82.06
446,User_446,55,Israel,2023-10-19,387.86,0.16,62.06
447,User_447,25,Canada,2022-07-10,818.73,0.06,49.12
448,User_448,26,Japan,2022-12-26,245.14,0.04,9.81
449,User_449,58,UK,2024-07-14,970.9,0.07,67.96
53,User_53,30,Israel,2020-06-19,338.79,0.15,50.82
451,User_451,41,India,2022-12-16,477.18,0.12,57.26
452,User_452,48,Germany,2020-02-01,769.4,0.17,130.8
453,User_453,45,Israel,2024-05-20,569.46,0.07,39.86
454,User_454,44,USA,2021-10-07,720.42,0.15,108.06
455,User_455,37,Japan,2024-07-14,52.88,0.07,3.7
456,User_456,33,UK,2021-12-09,605.98,0.17,103.02
457,User_457,67,Germany,2023-04-13,443.86,0.05,22.19
458,User_458,38,India,2023-10-13,298.96,0.17,50.82
459,User_459,37,UK,2022-04-23,200.59,0.16,32.09
460,User_460,21,Israel,2020-09-23,201.48,0.12,24.18
461,User_461,40,Japan,2021-02-13,671.86,0.04,26.87
462,User_462,58,France,2022-06-01,659.01,0.14,92.26
